stage	trans
G43	TRINITY_DN111371_c1_g2_i2
G43	TRINITY_DN111375_c0_g1_i3
G43	TRINITY_DN111388_c0_g1_i3
G43	TRINITY_DN111435_c0_g1_i1
G43	TRINITY_DN111452_c0_g2_i1
G43	TRINITY_DN111453_c1_g1_i1
G43	TRINITY_DN111546_c0_g1_i3
G43	TRINITY_DN111554_c0_g1_i3
G43	TRINITY_DN111571_c0_g3_i1
G43	TRINITY_DN111577_c1_g1_i2
G43	TRINITY_DN111613_c0_g1_i1
G43	TRINITY_DN111628_c1_g2_i4
G43	TRINITY_DN111628_c1_g6_i2
G43	TRINITY_DN111716_c0_g1_i4
G43	TRINITY_DN111805_c0_g1_i1
G43	TRINITY_DN111805_c0_g4_i1
G43	TRINITY_DN111872_c0_g1_i2
G43	TRINITY_DN111918_c1_g1_i2
G43	TRINITY_DN111964_c0_g3_i1
G43	TRINITY_DN111999_c0_g1_i1
G43	TRINITY_DN112027_c1_g2_i1
G43	TRINITY_DN112031_c0_g1_i1
G43	TRINITY_DN112050_c0_g1_i4
G43	TRINITY_DN112066_c0_g2_i2
G43	TRINITY_DN112102_c0_g1_i2
G43	TRINITY_DN112129_c1_g1_i1
G43	TRINITY_DN112137_c0_g1_i3
G43	TRINITY_DN112142_c2_g1_i2
G43	TRINITY_DN112185_c0_g1_i1
G43	TRINITY_DN112195_c1_g1_i3
G43	TRINITY_DN112264_c0_g2_i12
G43	TRINITY_DN112312_c0_g1_i1
G43	TRINITY_DN112313_c0_g4_i1
G43	TRINITY_DN112320_c0_g1_i3
G43	TRINITY_DN112348_c0_g1_i1
G43	TRINITY_DN112350_c0_g1_i5
G43	TRINITY_DN112376_c0_g1_i2
G43	TRINITY_DN112398_c0_g2_i1
G43	TRINITY_DN112398_c0_g3_i1
G43	TRINITY_DN112404_c0_g1_i3
G43	TRINITY_DN112411_c0_g1_i3
G43	TRINITY_DN112414_c0_g1_i1
G43	TRINITY_DN112424_c0_g1_i1
G43	TRINITY_DN112439_c0_g1_i2
G43	TRINITY_DN112445_c0_g1_i2
G43	TRINITY_DN112455_c0_g1_i1
G43	TRINITY_DN112471_c1_g2_i2
G43	TRINITY_DN112471_c1_g3_i2
G43	TRINITY_DN112471_c1_g5_i1
G43	TRINITY_DN112499_c0_g1_i3
G43	TRINITY_DN112534_c1_g3_i1
G43	TRINITY_DN112576_c0_g1_i3
G43	TRINITY_DN112579_c0_g2_i1
G43	TRINITY_DN11258_c0_g1_i1
G43	TRINITY_DN112594_c1_g1_i3
G43	TRINITY_DN112594_c1_g3_i1
G43	TRINITY_DN112605_c0_g1_i1
G43	TRINITY_DN112631_c0_g1_i1
G43	TRINITY_DN112651_c0_g4_i1
G43	TRINITY_DN112651_c0_g6_i1
G43	TRINITY_DN112658_c0_g1_i3
G43	TRINITY_DN112658_c0_g4_i1
G43	TRINITY_DN112662_c0_g1_i1
G43	TRINITY_DN112677_c0_g3_i1
G43	TRINITY_DN112677_c0_g5_i1
G43	TRINITY_DN112755_c1_g1_i2
G43	TRINITY_DN112755_c1_g4_i1
G43	TRINITY_DN112759_c2_g2_i1
G43	TRINITY_DN112759_c3_g5_i1
G43	TRINITY_DN112759_c3_g6_i1
G43	TRINITY_DN112759_c3_g7_i1
G43	TRINITY_DN112759_c4_g1_i1
G43	TRINITY_DN112775_c0_g1_i1
G43	TRINITY_DN112791_c0_g1_i4
G43	TRINITY_DN112808_c0_g1_i1
G43	TRINITY_DN112833_c0_g1_i1
G43	TRINITY_DN112890_c0_g4_i1
G43	TRINITY_DN112913_c2_g2_i1
G43	TRINITY_DN112913_c4_g5_i1
G43	TRINITY_DN112920_c0_g1_i1
G43	TRINITY_DN112937_c1_g1_i2
G43	TRINITY_DN112937_c1_g4_i1
G43	TRINITY_DN112995_c0_g1_i2
G43	TRINITY_DN113014_c4_g2_i1
G43	TRINITY_DN113043_c1_g2_i4
G43	TRINITY_DN113061_c1_g3_i3
G43	TRINITY_DN113087_c1_g6_i1
G43	TRINITY_DN113099_c0_g1_i1
G43	TRINITY_DN113101_c0_g1_i3
G43	TRINITY_DN113107_c0_g1_i1
G43	TRINITY_DN113126_c0_g1_i5
G43	TRINITY_DN113134_c0_g1_i3
G43	TRINITY_DN113165_c0_g1_i1
G43	TRINITY_DN113213_c0_g1_i1
G43	TRINITY_DN113236_c0_g1_i2
